,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,totalSeasons
316,The Book of Henry,2017,PG-13,23 Jun 2017,105 min,"Crime, Drama, Thriller",Colin Trevorrow,Gregg Hurwitz,"Naomi Watts, Jaeden Martell, Jacob Tremblay","With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather.",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjQ3MjI4OTU1Ml5BMl5BanBnXkFtZTgwMTgwODcyMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,6.6,"26,462",tt4572792,movie,10 Jul 2017,"$4,504,974",N/A,N/A,True,,
317,Borg vs. McEnroe,2017,R,13 Apr 2018,107 min,"Biography, Drama, Sport",Janus Metz,Ronnie Sandahl,"Sverrir Gudnason, Shia LaBeouf, Stellan Skarsgård",The story of the 1980 tennis rivalry between the placid Björn Borg and the volatile John McEnroe.,"English, Swedish, French, Spanish, German","Sweden, Denmark, Finland",7 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BODQyNzM0ZDEtYzRjMi00NTEwLWJlMGQtNDEzNjQ2NGQxOTZhXkEyXkFqcGdeQXVyMTY0MTE4NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.9,"30,407",tt5727282,movie,12 Apr 2018,"$231,346",N/A,N/A,True,,
318,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
319,Mark Felt: The Man Who Brought Down the White House,2017,PG-13,29 Sep 2017,103 min,"Biography, Drama, History",Peter Landesman,"Mark Felt, John D. O'Connor, Peter Landesman","Liam Neeson, Diane Lane, Marton Csokas","The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjQzMDEwMjMyNF5BMl5BanBnXkFtZTgwNjA1NTA1MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.4,"12,927",tt5175450,movie,N/A,"$768,946",N/A,N/A,True,,
320,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
321,Columbus,2017,Not Rated,04 Aug 2017,100 min,Drama,Kogonada,Kogonada,"John Cho, Haley Lu Richardson, Parker Posey","A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams.","English, Korean",United States,9 wins & 32 nominations,https://m.media-amazon.com/images/M/MV5BNWJiNzBlNjAtYjgwOC00YjZmLWI0YzItNTI1MzY4NmE4ZGI1XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.3,"16,311",tt5990474,movie,04 Nov 2017,"$1,017,107",N/A,N/A,True,,
322,The Little Hours,2017,R,30 Jun 2017,90 min,"Comedy, Romance",Jeff Baena,"Giovanni Boccaccio, Jeff Baena","Alison Brie, Dave Franco, Kate Micucci","In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation.",English,"United States, Canada",1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMzAzOTQ2NTg1OF5BMl5BanBnXkFtZTgwNTUyNzUzMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,5.8,"21,927",tt5666304,movie,26 Sep 2017,"$1,647,175",N/A,N/A,True,,
323,The Shack,2017,PG-13,03 Mar 2017,132 min,"Drama, Fantasy",Stuart Hazeldine,"John Fusco, Andrew Lanham, Destin Daniel Cretton","Sam Worthington, Octavia Spencer, Tim McGraw","A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""",English,"United States, Canada, Hong Kong",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjI3MDMxNzcxNl5BMl5BanBnXkFtZTgwODc4MzkwOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,6.3,"34,681",tt2872518,movie,30 May 2017,"$57,386,418",N/A,N/A,True,,
324,Thelma,2017,Not Rated,15 Sep 2017,116 min,"Drama, Fantasy, Horror",Joachim Trier,"Eskil Vogt, Joachim Trier","Eili Harboe, Kaya Wilkins, Henrik Rafaelsen",A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.,"Norwegian, Swedish","Norway, France, Denmark, Sweden",15 wins & 47 nominations,https://m.media-amazon.com/images/M/MV5BMjk0NjI2MjM1NF5BMl5BanBnXkFtZTgwODc2NjU0MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.0,"30,088",tt6304046,movie,16 Jan 2018,"$147,391",N/A,N/A,True,,
325,Flatliners,1990,R,10 Aug 1990,115 min,"Drama, Horror, Sci-Fi",Joel Schumacher,Peter Filardi,"Kiefer Sutherland, Kevin Bacon, Julia Roberts","Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives.",English,United States,Nominated for 1 Oscar. 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTc3MDE3NTM3Ml5BMl5BanBnXkFtZTgwNzgwNTg4NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.6,"84,792",tt0099582,movie,29 Nov 2001,"$61,489,265",N/A,N/A,True,,
326,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
327,I Do... Until I Don't,2017,R,01 Sep 2017,106 min,Comedy,Lake Bell,Lake Bell,"Lake Bell, Ed Helms, Mary Steenburgen",An ensemble comedy about the meaning of matrimony.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTU0NDI2ODIzM15BMl5BanBnXkFtZTgwMDM5Mzc3MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,4.1,"2,479",tt3234084,movie,14 Nov 2017,"$280,668",N/A,N/A,True,,
328,Professor Marston & the Wonder Women,2017,R,13 Oct 2017,108 min,"Biography, Drama, History",Angela Robinson,Angela Robinson,"Luke Evans, Rebecca Hall, Bella Heathcote","The story of psychologist William Moulton Marston, and his polyamorous relationship with his wife and their mistress who would inspire his creation of the superheroine, Wonder Woman.","English, French",United States,8 nominations,https://m.media-amazon.com/images/M/MV5BMTcyMTQzMDIwNl5BMl5BanBnXkFtZTgwMTY1NjgzMzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.1,"25,607",tt6133130,movie,30 Jan 2018,"$1,584,759",N/A,N/A,True,,
329,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
330,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
331,The Lego Ninjago Movie,2017,PG,22 Sep 2017,101 min,"Animation, Action, Adventure","Charlie Bean, Paul Fisher, Bob Logan","Bob Logan, Paul Fisher, William Wheeler","Jackie Chan, Dave Franco, Fred Armisen","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.",English,"United States, Denmark, Australia",7 nominations,https://m.media-amazon.com/images/M/MV5BNDI3MDljMTQtYzBiYS00NDk2LTlhYzUtYmM0NWIyMmZkMDZkXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.0,"24,891",tt3014284,movie,19 Dec 2017,"$59,281,555",N/A,N/A,True,,
332,My Friend Dahmer,2017,R,02 Mar 2018,107 min,"Biography, Drama, Horror",Marc Meyers,"Marc Meyers, John Backderf","Ross Lynch, Alex Wolff, Anne Heche",A young Jeffrey Dahmer struggles to belong in high school.,English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BN2UxZDJlYjAtNGQ0OC00MWE4LTkzMjktMDAyNTg2ZTVkZjQ1XkEyXkFqcGdeQXVyMTc2MDc0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.2,"18,552",tt2291540,movie,06 Feb 2018,"$1,361,611",N/A,N/A,True,,
333,The House,2017,R,30 Jun 2017,88 min,"Comedy, Crime",Andrew Jay Cohen,"Brendan O'Brien, Andrew Jay Cohen","Will Ferrell, Amy Poehler, Ryan Simpkins","After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTc0NDYwNzU2M15BMl5BanBnXkFtZTgwOTUxNDg0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",30,5.6,"43,070",tt4481514,movie,10 Oct 2017,"$25,584,504",N/A,N/A,True,,
334,Marrowbone,2017,R,13 Apr 2018,110 min,"Drama, Horror, Mystery",Sergio G. Sánchez,Sergio G. Sánchez,"George MacKay, Anya Taylor-Joy, Charlie Heaton","A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live.",English,"Spain, United States",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMzA5NDM1MjMzNl5BMl5BanBnXkFtZTgwNDUyMTA4NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.7,"29,293",tt5886440,movie,13 Apr 2018,"$1,377",N/A,N/A,True,,
335,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
336,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
337,Song to Song,2017,R,17 Mar 2017,129 min,"Drama, Music, Romance",Terrence Malick,Terrence Malick,"Ryan Gosling, Rooney Mara, Michael Fassbender","Two intersecting love triangles. Obsession and betrayal set against the music scene in Austin, Texas.",English,United States,8 nominations,https://m.media-amazon.com/images/M/MV5BNzI1MTg0MzEyOF5BMl5BanBnXkFtZTgwNzk4Mjk0MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,5.6,"20,481",tt2062700,movie,27 Jun 2017,"$443,684",N/A,N/A,True,,
338,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
339,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
340,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
341,All Eyez on Me,2017,R,16 Jun 2017,139 min,"Biography, Drama, Music",Benny Boom,"Jeremy Haft, Eddie Gonzalez, Steven Bagatourian","Demetrius Shipp Jr., Danai Gurira, Kat Graham","Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTc5NzQ4NzU4OF5BMl5BanBnXkFtZTgwNTkxMzE0MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.9,"22,591",tt1666185,movie,05 Sep 2017,"$44,922,302",N/A,N/A,True,,
342,Sleepless,2017,R,13 Jan 2017,95 min,"Action, Crime, Thriller",Baran bo Odar,"Andrea Berloff, Frédéric Jardin, Nicolas Saada","Jamie Foxx, Michelle Monaghan, Dermot Mulroney",A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNjEwMDAyOTM4OV5BMl5BanBnXkFtZTgwMzc4MjMyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.6,"31,768",tt2072233,movie,18 Apr 2017,"$20,783,704",N/A,N/A,True,,
343,The Captain,2017,N/A,27 Jul 2018,118 min,"Drama, History, Thriller",Robert Schwentke,Robert Schwentke,"Max Hubacher, Alexander Fehling, Sebastian Rudolph","In the last moments of World War II, a young German soldier fighting for survival finds a Nazi captain's uniform. Impersonating an officer, the man quickly takes on the monstrous identity of the perpetrators he's escaping from.",German,"Germany, France, Poland",23 wins & 19 nominations,https://m.media-amazon.com/images/M/MV5BY2NiOGRlZDEtNDM5NS00OWQ0LTlkNzctMWZlMTkzNWJhZTNhXkEyXkFqcGdeQXVyODg5NTg2NDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.4,"16,666",tt6763252,movie,27 Nov 2018,"$109,226",N/A,N/A,True,,
344,Tulip Fever,2017,R,01 Sep 2017,105 min,"Drama, History, Romance",Justin Chadwick,"Deborah Moggach, Tom Stoppard","Alicia Vikander, Dane DeHaan, Jack O'Connell",An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.,English,"United Kingdom, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BZDY3MTAyNmEtZDY1Yi00NGY5LTg1ZDctNDQ2N2FlMmRlYWU0XkEyXkFqcGdeQXVyNTQzOTc3MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.2,"20,315",tt0491203,movie,14 Nov 2017,"$2,455,635",N/A,N/A,True,,
345,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
346,Jeepers Creepers III,2017,Not Rated,02 Nov 2017,100 min,Horror,Victor Salva,Victor Salva,"Stan Shaw, Gabrielle Haugh, Brandon Smith",Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY2NzQwNjY4M15BMl5BanBnXkFtZTgwOTM2MzkzMzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,3.9,"21,496",tt1139592,movie,26 Dec 2017,"$2,335,162",N/A,N/A,True,,
347,My Cousin Rachel,2017,PG-13,09 Jun 2017,106 min,"Drama, Mystery, Romance",Roger Michell,"Roger Michell, Daphne Du Maurier","Rachel Weisz, Sam Claflin, Holliday Grainger","A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.","English, Italian","United Kingdom, United States",1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMzY0YTFlNjMtNDk5MS00MmIxLWJkNjYtZWQwYzk5NjZkZTc1XkEyXkFqcGdeQXVyNDcxNzU3MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.0,"18,858",tt4411596,movie,29 Aug 2017,"$2,716,368",N/A,N/A,True,,
348,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
349,Breathe,2017,PG-13,27 Oct 2017,118 min,"Biography, Drama, Romance",Andy Serkis,William Nicholson,"Andrew Garfield, Claire Foy, Hugh Bonneville","The inspiring true love story of Robin (Andrew Garfield) and Diana Cavendish (Claire Foy), an adventurous couple who refuse to give up in the face of a devastating disease. Their heartwarming celebration of human possibility marks th","English, German, Spanish",United Kingdom,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTg1OTcxNjU1MV5BMl5BanBnXkFtZTgwMzcwMTQ3MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.2,"21,370",tt5716464,movie,02 Jan 2018,"$490,131",N/A,N/A,True,,
350,The Only Living Boy in New York,2017,R,27 Jul 2017,89 min,Drama,Marc Webb,Allan Loeb,"Callum Turner, Kate Beckinsale, Pierce Brosnan","Adrift in New York City, a recent college graduate's life is upended by his father's mistress.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BODEzODA5NjU2NF5BMl5BanBnXkFtZTgwODkwNzA5MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,6.4,"13,644",tt0460890,movie,21 Nov 2017,"$624,332",N/A,N/A,True,,
351,A Taxi Driver,2017,Not Rated,11 Aug 2017,137 min,"Action, Drama, History",Hun Jang,Yu-na Eom,"Kang-ho Song, Thomas Kretschmann, Hae-Jin Yoo","A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.","Korean, German, English, Japanese",South Korea,25 wins & 32 nominations,https://m.media-amazon.com/images/M/MV5BMTA5ZGE4ZTQtYjVjOS00MTllLTkwZWEtYzQ5NzljMWJkYWE4XkEyXkFqcGdeQXVyMTk0NTY2ODQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.9,"21,583",tt6878038,movie,07 Nov 2017,"$1,527,829",N/A,N/A,True,,
352,Brad's Status,2017,R,15 Sep 2017,102 min,"Comedy, Drama, Music",Mike White,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer",A father takes his son to tour colleges on the East Coast and meets up with an old friend who makes him feel inferior about his life's choices.,English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNDliZTUwZTktYmJlNC00MGE1LWEwODktNWZiNTRkMGFiNTg1XkEyXkFqcGdeQXVyNjU5NzU3MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.5,"17,398",tt5884230,movie,02 Jan 2018,"$2,133,158",N/A,N/A,True,,
353,American Satan,2017,R,13 Oct 2017,111 min,"Drama, Music, Thriller",Ash Avildsen,"Ash Avildsen, Matty Beckerman","Andy Biersack, Booboo Stewart, Ben Bruce","A young rock band, half of its members from England and half from the U.S., drops out of college and moves to the Sunset Strip to chase their dreams.",English,United States,11 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BNjBjYWYxOTMtZTNhYS00OTc5LWJkYzgtNzZlMDNjNWU5NGVlXkEyXkFqcGdeQXVyMjMzMjEyMDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,5.7,"3,776",tt5451690,movie,23 Feb 2018,"$237,708",N/A,N/A,True,,
354,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
355,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
356,Wonderstruck,2017,PG,20 Oct 2017,116 min,"Adventure, Drama, Mystery",Todd Haynes,Brian Selznick,"Oakes Fegley, Julianne Moore, Michelle Williams","Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress whose life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.","English, Spanish",United States,2 wins & 34 nominations,https://m.media-amazon.com/images/M/MV5BMjM3NjY0MTYwM15BMl5BanBnXkFtZTgwMDI5NzA2MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.2,"10,122",tt5208216,movie,02 Jan 2018,"$1,060,377",N/A,N/A,True,,
357,In the Fade,2017,R,27 Dec 2017,106 min,"Crime, Drama, Thriller",Fatih Akin,"Fatih Akin, Hark Bohm","Numan Acar, Adam Bousdoukos, Diane Kruger","Katja's life collapses after the death of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge.","German, Greek, English, Turkish","Germany, France",17 wins & 25 nominations,https://m.media-amazon.com/images/M/MV5BODc2NTkyZjEtMTYxNC00YTJmLTgzZjMtNTVmOTZmNDBhMjQ5XkEyXkFqcGdeQXVyODAzODU1NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.1,"31,389",tt5723272,movie,31 Mar 2018,"$321,011",N/A,N/A,True,,
358,Snatched,2017,R,12 May 2017,90 min,"Action, Adventure, Comedy",Jonathan Levine,Katie Dippold,"Amy Schumer, Goldie Hawn, Kim Caramele","When her boyfriend dumps her before their exotic vacation, a young woman persuades her ultra-cautious mother to travel with her to paradise, with unexpected results.","English, Spanish",United States,2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZTI5NWY1YTQtODYxMi00M2VmLTgzNDQtMGM3NWU5YjViNDE5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,4.5,"34,816",tt2334871,movie,15 Aug 2017,"$45,852,178",N/A,N/A,True,,
359,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
360,Victoria,2015,Not Rated,11 Jun 2015,138 min,"Crime, Drama, Romance",Sebastian Schipper,"Sebastian Schipper, Olivia Neergaard-Holm, Eike Frederik Schulz","Laia Costa, Frederick Lau, Franz Rogowski",A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,"German, English, Spanish, Turkish",Germany,17 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BMTc5NzQzNjk2NF5BMl5BanBnXkFtZTgwODU0MjI5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.6,"56,756",tt4226388,movie,08 Mar 2016,N/A,N/A,N/A,True,,
361,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
362,The Wall,2017,R,18 May 2017,88 min,"Action, Drama, Thriller",Doug Liman,Dwain Worrell,"Aaron Taylor-Johnson, John Cena, Laith Nakli","Two American Soldiers are trapped by a lethal sniper, with only an unsteady wall between them.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTc5ODMyNzE4OF5BMl5BanBnXkFtZTgwNTM0Mzc4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.2,"26,226",tt4218696,movie,15 Aug 2017,"$1,803,064",N/A,N/A,True,,
363,How to Be a Latin Lover,2017,PG-13,28 Apr 2017,115 min,"Comedy, Drama",Ken Marino,"Jon Zack, Chris Spain","Eugenio Derbez, Salma Hayek, Raphael Alejandro","Finding himself dumped after twenty-five years of marriage, a man who made a career of seducing rich older women must move in with his estranged sister, where he begins to learn the value of family.","English, Spanish","Mexico, United States",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BYTAwZDk5NzItM2U0MS00NDUxLTgwMDAtNzVmZDMxMzMxMWYxXkEyXkFqcGdeQXVyNTAwODk1NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.0,"15,605",tt4795124,movie,15 Aug 2017,"$32,149,404",N/A,N/A,True,,
364,,,,,,,,,,,,,,,,,,,,,,,,,False,Invalid API key!,
365,Same Kind of Different as Me,2017,PG-13,20 Oct 2017,119 min,"Biography, Drama",Michael Carney,"Ron Hall, Denver Moore, Lynn Vincent","Greg Kinnear, Renée Zellweger, Djimon Hounsou","International art dealer Ron Hall must befriend a dangerous homeless man in order to save his struggling marriage to his wife, a woman whose dreams will lead all three of them on the journey of their lives.",English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BY2JhZjU1YWQtM2RmYi00ZjY3LWFhYzktNTk0ZGZkNjBkYzI2XkEyXkFqcGdeQXVyNjAwOTYzMjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.7,"7,913",tt1230168,movie,20 Feb 2018,"$6,423,605",N/A,N/A,True,,
366,My Little Pony: The Movie,2017,PG,06 Oct 2017,99 min,"Animation, Adventure, Comedy","Jayson Thiessen, Lean Lagonera","Meghan McCarthy, Joe Ballarini, Rita Hsiao","Emily Blunt, Kristin Chenoweth, Liev Schreiber","After a dark force conquers Canterlot, the Mane 6 embark on an unforgettable journey beyond Equestria where they meet new friends and exciting challenges on a quest to use the magic of friendship to save their homeland.",English,"United States, Canada",4 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMmMxNWNhNjItZjhmMC00ZmViLThlYjItZDk5YTQ1MWZkOGM1XkEyXkFqcGdeQXVyNzY2ODYzOTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.2,"6,773",tt4131800,movie,09 Jan 2018,"$21,885,107",N/A,N/A,True,,
